cohort,from_aoi,to_aoi,mean_count
7-month-olds,man_face,man_body,0.4
7-month-olds,man_face,woman_face,0.4
7-month-olds,man_face,woman_body,0.6
7-month-olds,man_face,toy_present,1.2
7-month-olds,man_face,toy_location,0.0
7-month-olds,man_body,man_face,1.0
7-month-olds,man_body,woman_face,0.4
7-month-olds,man_body,woman_body,0.8
7-month-olds,man_body,toy_present,1.2
7-month-olds,man_body,toy_location,0.0
7-month-olds,woman_face,man_face,0.4
7-month-olds,woman_face,man_body,0.2
7-month-olds,woman_face,woman_body,0.4
7-month-olds,woman_face,toy_present,1.0
7-month-olds,woman_face,toy_location,0.0
7-month-olds,woman_body,man_face,0.2
7-month-olds,woman_body,man_body,0.2
7-month-olds,woman_body,woman_face,0.8
7-month-olds,woman_body,toy_present,3.0
7-month-olds,woman_body,toy_location,0.0
7-month-olds,toy_present,man_face,1.8
7-month-olds,toy_present,man_body,0.8
7-month-olds,toy_present,woman_face,1.0
7-month-olds,toy_present,woman_body,2.4
7-month-olds,toy_present,toy_location,0.0
7-month-olds,toy_location,man_face,0.0
7-month-olds,toy_location,man_body,0.0
7-month-olds,toy_location,woman_face,0.0
7-month-olds,toy_location,woman_body,0.0
7-month-olds,toy_location,toy_present,0.0
8-month-olds,man_face,man_body,0.6
8-month-olds,man_face,woman_face,1.2
8-month-olds,man_face,woman_body,0.4
8-month-olds,man_face,toy_present,0.6
8-month-olds,man_face,toy_location,0.0
8-month-olds,man_body,man_face,0.6
8-month-olds,man_body,woman_face,0.4
8-month-olds,man_body,woman_body,0.8
8-month-olds,man_body,toy_present,0.4
8-month-olds,man_body,toy_location,0.0
8-month-olds,woman_face,man_face,1.2
8-month-olds,woman_face,man_body,0.4
8-month-olds,woman_face,woman_body,0.6
8-month-olds,woman_face,toy_present,2.8
8-month-olds,woman_face,toy_location,0.0
8-month-olds,woman_body,man_face,0.0
8-month-olds,woman_body,man_body,0.2
8-month-olds,woman_body,woman_face,2.0
8-month-olds,woman_body,toy_present,2.2
8-month-olds,woman_body,toy_location,0.0
8-month-olds,toy_present,man_face,1.0
8-month-olds,toy_present,man_body,0.6
8-month-olds,toy_present,woman_face,2.0
8-month-olds,toy_present,woman_body,3.2
8-month-olds,toy_present,toy_location,0.0
8-month-olds,toy_location,man_face,0.0
8-month-olds,toy_location,man_body,0.0
8-month-olds,toy_location,woman_face,0.0
8-month-olds,toy_location,woman_body,0.0
8-month-olds,toy_location,toy_present,0.0
9-month-olds,man_face,man_body,0.0
9-month-olds,man_face,woman_face,0.8
9-month-olds,man_face,woman_body,0.8
9-month-olds,man_face,toy_present,0.8
9-month-olds,man_face,toy_location,0.0
9-month-olds,man_body,man_face,0.4
9-month-olds,man_body,woman_face,0.0
9-month-olds,man_body,woman_body,0.0
9-month-olds,man_body,toy_present,0.2
9-month-olds,man_body,toy_location,0.0
9-month-olds,woman_face,man_face,0.6
9-month-olds,woman_face,man_body,0.0
9-month-olds,woman_face,woman_body,1.0
9-month-olds,woman_face,toy_present,2.2
9-month-olds,woman_face,toy_location,0.0
9-month-olds,woman_body,man_face,0.4
9-month-olds,woman_body,man_body,0.0
9-month-olds,woman_body,woman_face,1.2
9-month-olds,woman_body,toy_present,2.2
9-month-olds,woman_body,toy_location,0.0
9-month-olds,toy_present,man_face,1.6
9-month-olds,toy_present,man_body,0.4
9-month-olds,toy_present,woman_face,2.2
9-month-olds,toy_present,woman_body,1.6
9-month-olds,toy_present,toy_location,0.0
9-month-olds,toy_location,man_face,0.0
9-month-olds,toy_location,man_body,0.0
9-month-olds,toy_location,woman_face,0.0
9-month-olds,toy_location,woman_body,0.0
9-month-olds,toy_location,toy_present,0.0
10-month-olds,man_face,man_body,0.375
10-month-olds,man_face,woman_face,1.25
10-month-olds,man_face,woman_body,0.375
10-month-olds,man_face,toy_present,0.375
10-month-olds,man_face,toy_location,0.0
10-month-olds,man_body,man_face,1.0
10-month-olds,man_body,woman_face,0.0
10-month-olds,man_body,woman_body,0.25
10-month-olds,man_body,toy_present,0.375
10-month-olds,man_body,toy_location,0.0
10-month-olds,woman_face,man_face,1.375
10-month-olds,woman_face,man_body,0.375
10-month-olds,woman_face,woman_body,0.375
10-month-olds,woman_face,toy_present,2.5
10-month-olds,woman_face,toy_location,0.0
10-month-olds,woman_body,man_face,0.0
10-month-olds,woman_body,man_body,0.0
10-month-olds,woman_body,woman_face,1.875
10-month-olds,woman_body,toy_present,1.125
10-month-olds,woman_body,toy_location,0.0
10-month-olds,toy_present,man_face,1.375
10-month-olds,toy_present,man_body,0.5
10-month-olds,toy_present,woman_face,2.0
10-month-olds,toy_present,woman_body,1.125
10-month-olds,toy_present,toy_location,0.0
10-month-olds,toy_location,man_face,0.0
10-month-olds,toy_location,man_body,0.0
10-month-olds,toy_location,woman_face,0.0
10-month-olds,toy_location,woman_body,0.0
10-month-olds,toy_location,toy_present,0.0
11-month-olds,man_face,man_body,0.4
11-month-olds,man_face,woman_face,1.4
11-month-olds,man_face,woman_body,0.8
11-month-olds,man_face,toy_present,1.2
11-month-olds,man_face,toy_location,0.0
11-month-olds,man_body,man_face,1.4
11-month-olds,man_body,woman_face,0.8
11-month-olds,man_body,woman_body,0.8
11-month-olds,man_body,toy_present,0.0
11-month-olds,man_body,toy_location,0.0
11-month-olds,woman_face,man_face,1.4
11-month-olds,woman_face,man_body,0.4
11-month-olds,woman_face,woman_body,0.4
11-month-olds,woman_face,toy_present,3.0
11-month-olds,woman_face,toy_location,0.0
11-month-olds,woman_body,man_face,0.4
11-month-olds,woman_body,man_body,0.8
11-month-olds,woman_body,woman_face,1.2
11-month-olds,woman_body,toy_present,1.8
11-month-olds,woman_body,toy_location,0.0
11-month-olds,toy_present,man_face,1.6
11-month-olds,toy_present,man_body,1.0
11-month-olds,toy_present,woman_face,2.4
11-month-olds,toy_present,woman_body,1.4
11-month-olds,toy_present,toy_location,0.0
11-month-olds,toy_location,man_face,0.0
11-month-olds,toy_location,man_body,0.0
11-month-olds,toy_location,woman_face,0.0
11-month-olds,toy_location,woman_body,0.0
11-month-olds,toy_location,toy_present,0.0
Adults,man_face,man_body,1.75
Adults,man_face,woman_face,8.5
Adults,man_face,woman_body,1.25
Adults,man_face,toy_present,5.0
Adults,man_face,toy_location,0.0
Adults,man_body,man_face,2.0
Adults,man_body,woman_face,2.0
Adults,man_body,woman_body,0.25
Adults,man_body,toy_present,0.5
Adults,man_body,toy_location,0.0
Adults,woman_face,man_face,10.25
Adults,woman_face,man_body,0.75
Adults,woman_face,woman_body,2.25
Adults,woman_face,toy_present,6.5
Adults,woman_face,toy_location,0.0
Adults,woman_body,man_face,0.5
Adults,woman_body,man_body,0.5
Adults,woman_body,woman_face,3.25
Adults,woman_body,toy_present,1.5
Adults,woman_body,toy_location,0.0
Adults,toy_present,man_face,6.25
Adults,toy_present,man_body,1.25
Adults,toy_present,woman_face,5.5
Adults,toy_present,woman_body,1.0
Adults,toy_present,toy_location,0.0
Adults,toy_location,man_face,0.0
Adults,toy_location,man_body,0.0
Adults,toy_location,woman_face,0.0
Adults,toy_location,woman_body,0.0
Adults,toy_location,toy_present,0.0
